CITY,BRAND,WEIGHT,LOW,HIGH,AVG
CALOOCAN CITY,BRENT GAS,5 KG,379,379,379
CALOOCAN CITY,FIESTA GAS,5 KG,364,360,362
CALOOCAN CITY,REGASCO,5 KG,334,334,334
CALOOCAN CITY,REGASCO,5 KG,334,334,334
LAS PINAS CITY,BRENT GAS,5 KG,383,379,381
LAS PINAS CITY,BRENT GAS,5 KG,383,379,381
LAS PINAS CITY,FIESTA GAS,5 KG,378,374,376
MALABON,FIESTA GAS,5 KG,364,360,362
MALABON,FIESTA GAS,5 KG,378,374,376
MANDALUYONG,BRENT GAS,5 KG,383,379,381
MANDALUYONG,FIESTA GAS,5 KG,378,374,376
MANDALUYONG,FIESTA GAS,5 KG,378,374,376
MANDALUYONG,PHILGAS,5 KG,345,345,345
MANDALUYONG,SUPER KALAN/TOTAL,5 KG,382,378,380
MANDALUYONG,SUPER KALAN/TOTAL,5 KG,382,378,380
MANILA,BRENT GAS,5 KG,383,379,381
MANILA,BRENT GAS,5 KG,383,379,381
MANILA,FIESTA GAS,5 KG,378,374,376
MANILA,FIESTA GAS,5 KG,378,374,376
MANILA,FIESTA GAS,5 KG,364,360,362
MANILA,ISLAND GAS,5 KG,420,405,412.5
MANILA,LIQUIGAZ,5 KG,365,350,357.5
MANILA,LIQUIGAZ,5 KG,456,456,456
MANILA,LUZON GAS,5 KG,302,289,295.5
MANILA,Masagana Gas,5 KG,349,344,346.5
MANILA,Masagana Gas,5 KG,344,344,344
MANILA,Masagana Gas,5 KG,344,344,344
MANILA,REGASCO,5 KG,334,334,334
MANILA,REGASCO,5 KG,370,365,367.5
MANILA,SHINE GAZ,5 KG,335,320,327.5
MANILA,TOTAL GAS/SUPERKALAN,5 KG,443,439,441
MANILA,TOTAL GAS/SUPERKALAN,5 KG,420,416,418
MANILA,TOTAL GAS/SUPERKALAN,5 KG,460,456,458
MARIKINA,FIESTA GAS,5 KG,378,374,376
MUNTINLUPA CITY,BRENT GAS,5 KG,383,379,381
MUNTINLUPA CITY,BRENT GAS,5 KG,379,379,379
MUNTINLUPA CITY,BRENT GAS,5 KG,383,379,381
MUNTINLUPA CITY,FIESTA GAS,5 KG,378,374,376
MUNTINLUPA CITY,ISLAND GAS,5 KG,455,440,447.5
MUNTINLUPA CITY,MALAYA GAS,5 KG,340,323,331.5
MUNTINLUPA CITY,TIN & MIG,5 KG,330,315,322.5
MUNTINLUPA CITY,VIC'S LPG,5 KG,245,325,285
NAVOTAS,FIESTA GAS,5 KG,364,360,362
NAVOTAS,REGASCO,5 KG,303,298,300.5
NAVOTAS,TOWN GAS,5 KG,323,318,320.5
PARANAQUE CITY,BRENT GAS,5 KG,379,379,379
PARANAQUE CITY,FIESTA GAS,5 KG,378,374,376
PARANAQUE CITY,FIESTA GAS,5 KG,378,374,376
PARANAQUE CITY,ISLAND GAS,5 KG,374,359,366.5
PASAY CITY,ISLAND GAS,5 KG,371,356,363.5
PASAY CITY,ISLAND GAS,5 KG,371,356,363.5
PASAY CITY,ISLAND GAS,5 KG,371,356,363.5
PASIG CITY,FIESTA GAS,5 KG,378,374,376
PASIG CITY,FIESTA GAS,5 KG,378,374,376
PASIG CITY,ISLAND GAS,5 KG,425,410,417.5
PASIG CITY,ISLAND GAS,5 KG,402,387,394.5
PASIG CITY,ISLAND GAS,5 KG,365,350,357.5
QUEZON CITY,BRENT GAS,5 KG,383,379,381
QUEZON CITY,BRENT GAS,5 KG,383,379,381
QUEZON CITY,BRENT GAS,5 KG,383,379,381
QUEZON CITY,FIESTA GAS,5 KG,378,374,376
QUEZON CITY,FIESTA GAS,5 KG,378,374,376
QUEZON CITY,FIESTA GAS,5 KG,378,374,376
QUEZON CITY,FIESTA GAS,5 KG,378,374,376
QUEZON CITY,ISLAND AIR PRODUCTS,5 KG,385,370,377.5
QUEZON CITY,LUZON GAS,5 KG,310,298,304
QUEZON CITY,MGAS,5 KG,390,380,385
QUEZON CITY,REGASCO,5 KG,348,334,341
QUEZON CITY,REGASCO,5 KG,348,334,341
QUEZON CITY,REGASCO,5 KG,348,334,341
QUEZON CITY,REGASCO,5 KG,348,334,341
QUEZON CITY,SAM GAS,5 KG,423.75,391,407.375
San Juan City,BRENT GAS,5 KG,379,379,379
San Juan City,FIESTA GAS,5 KG,378,374,376
TAGUIG CITY,BRENT GAS,5 KG,383,379,381
TAGUIG CITY,BRENT GAS,5 KG,383,379,381
TAGUIG CITY,FIESTA GAS,5 KG,378,374,376
TAGUIG CITY,PHILGAS,5 KG,310,300,305
TAGUIG CITY,SUPERKALAN/TOTAL,5 KG,363,355,359
VALENZUELA CITY,BRENT GAS,5 KG,383,379,381
VALENZUELA CITY,FIESTA GAS,5 KG,378,374,376
VALENZUELA CITY,ISLAND AIR PRODUCTS,5 KG,358,343,350.5
VALENZUELA CITY,MGAS,5 KG,358,343,350.5
PATEROS,FIESTA GAS,5 KG,378,374,376
PATEROS,SUPERKALAN TOTAL,5 KG,415,411,413
CALOOCAN CITY,BRENT GAS,2.7 KG,234,232,233
CALOOCAN CITY,BRENT GAS,2.7 KG,232,232,232
CALOOCAN CITY,FIESTA GAS,2.7 KG,194,192,193
CALOOCAN CITY,GASUL,2.7 KG,222,220,221
CALOOCAN CITY,REGASCO,2.7 KG,218,218,218
CALOOCAN CITY,REGASCO,2.7 KG,218,218,218
LAS PINAS CITY,BRENT GAS,2.7 KG,234,232,233
LAS PINAS CITY,BRENT GAS,2.7 KG,234,232,233
LAS PINAS CITY,FIESTA GAS,2.7 KG,202,200,201
LAS PINAS CITY,GASULITE,2.7 KG,222,220,221
LAS PINAS CITY,SUPERKALAN (TOTAL),2.7 KG,258,258,258
LAS PINAS CITY,SUPERKALAN (TOTAL),2.7 KG,263,261,262
MAKATI CITY,FIESTA GAS,2.7 KG,202,200,201
MAKATI CITY,FIESTA GAS,2.7 KG,202,200,201
MAKATI CITY,GASUL,2.7 KG,222,220,221
MAKATI CITY,GASUL,2.7 KG,222,220,221
MAKATI CITY,Masagana Gas,2.7 KG,205,212,208.5
MAKATI CITY,Masagana Gas,2.7 KG,205,212,208.5
MALABON,FIESTA GAS,2.7 KG,194,192,193
MALABON,FIESTA GAS,2.7 KG,202,200,201
MALABON,GASUL,2.7 KG,222,220,221
MALABON,GASUL,2.7 KG,222,220,221
MALABON,PHILGAS,2.7 KG,249,241,245
MALABON,SUPER KALAN/TOTAL,2.7 KG,218.7,210.7,214.7
MALABON,SUPERKALAN,2.7 KG,231,231,231
MANDALUYONG,BRENT GAS,2.7 KG,234,232,233
MANDALUYONG,FIESTA GAS,2.7 KG,202,200,201
MANDALUYONG,FIESTA GAS,2.7 KG,202,200,201
MANDALUYONG,GASUL,2.7 KG,222,220,221
MANDALUYONG,GASUL,2.7 KG,222,220,221
MANDALUYONG,ISLAND GAS,2.7 KG,230,220,225
MANDALUYONG,PHILGAS,2.7 KG,225,225,225
MANDALUYONG,SUPER KALAN/TOTAL,2.7 KG,274,272,273
MANDALUYONG,SUPER KALAN/TOTAL,2.7 KG,274,272,273
MANILA,BRENT GAS,2.7 KG,234,232,233
MANILA,BRENT GAS,2.7 KG,234,232,233
MANILA,FIESTA GAS,2.7 KG,202,200,201
MANILA,FIESTA GAS,2.7 KG,202,200,201
MANILA,FIESTA GAS,2.7 KG,202,200,201
MANILA,FIESTA GAS,2.7 KG,202,200,201
MANILA,FIESTA GAS,2.7 KG,194,192,193
MANILA,GASLAND,2.7 KG,240,220,230
MANILA,GASUL,2.7 KG,222,220,221
MANILA,GASUL,2.7 KG,222,220,221
MANILA,GASUL,2.7 KG,222,220,221
MANILA,GASUL,2.7 KG,222,220,221
MANILA,GASUL,2.7 KG,222,220,221
MANILA,LIQUIGAZ,2.7 KG,210,205,207.5
MANILA,LIQUIGAZ,2.7 KG,235,235,235
MANILA,LUZON GAS,2.7 KG,190,180,185
MANILA,Masagana Gas,2.7 KG,208,205,206.5
MANILA,Masagana Gas,2.7 KG,212,212,212
MANILA,Masagana Gas,2.7 KG,212,212,212
MANILA,PHILGAS,2.7 KG,225,220,222.5
MANILA,REGASCO,2.7 KG,218,218,218
MANILA,REGASCO,2.7 KG,185,180,182.5
MANILA,SHINE GAZ,2.7 KG,205,200,202.5
MANILA,SOLANE,2.7 KG,233,231,232
MANILA,SOLANE,2.7 KG,233,231,232
MANILA,TONG & MILES,2.7 KG,240,230,235
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,208,206,207
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,208,206,207
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,213,211,212
MANILA,TOTAL GAS/SUPERKALAN,2.7 KG,237,235,236
MARIKINA,FIESTA GAS,2.7 KG,222,220,221
MARIKINA,GASUL,2.7 KG,222,220,221
MUNTINLUPA CITY,BRENT GAS,2.7 KG,234,232,233
MUNTINLUPA CITY,BRENT GAS,2.7 KG,232,232,232
MUNTINLUPA CITY,BRENT GAS,2.7 KG,234,232,233
MUNTINLUPA CITY,FIESTA GAS,2.7 KG,202,200,201
MUNTINLUPA CITY,GASUL,2.7 KG,222,220,221
MUNTINLUPA CITY,ISLAND GAS,2.7 KG,268,260,264
MUNTINLUPA CITY,TIN & MIG,2.7 KG,195,190,192.5
MUNTINLUPA CITY,VIC'S LPG,2.7 KG,200,190,195
NAVOTAS,FIESTA GAS,2.7 KG,194,192,193
NAVOTAS,Gasul,2.7 KG,222,220,221
NAVOTAS,REGASCO,2.7 KG,165,162,163.5
NAVOTAS,SUPERKALAN,2.7 KG,233,230.33,231.665
NAVOTAS,TOWN GAS,2.7 KG,170,167,168.5
PARANAQUE CITY,BRENT GAS,2.7 KG,232,232,232
PARANAQUE CITY,FIESTA GAS,2.7 KG,202,200,201
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,GASUL,2.7 KG,222,220,221
PARANAQUE CITY,FIESTA GAS,2.7 KG,202,200,201
PARANAQUE CITY,GASULITE,2.7 KG,222,220,221
PARANAQUE CITY,ISLAND GAS,2.7 KG,247,239,243
PARANAQUE CITY,ROYAL ZOBEL,2.7 KG,220,212,216
PASAY CITY,FIESTA GAS,2.7 KG,202,200,201
PASAY CITY,GASUL,2.7 KG,222,220,221
PASAY CITY,GASUL,2.7 KG,222,220,221
PASAY CITY,ISLAND GAS,2.7 KG,200,192,196
PASAY CITY,ISLAND GAS,2.7 KG,201,192,196.5
PASAY CITY,ISLAND GAS,2.7 KG,200,192,196
PASIG CITY,FIESTA GAS,2.7 KG,202,200,201
PASIG CITY,FIESTA GAS,2.7 KG,202,200,201
PASIG CITY,GASUL,2.7 KG,222,220,221
PASIG CITY,GASUL,2.7 KG,222,220,221
PASIG CITY,ISLAND GAS,2.7 KG,219,211,215
PASIG CITY,ISLAND GAS,2.7 KG,226,218,222
PASIG CITY,SUPERKALAN/TOTAL,2.7 KG,225,224,224.5
QUEZON CITY,BRENT GAS,2.7 KG,234,232,233
QUEZON CITY,BRENT GAS,2.7 KG,234,232,233
QUEZON CITY,BRENT GAS,2.7 KG,234,232,233
QUEZON CITY,EQUIGAZ,2.7 KG,233,230,231.5
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,202,200,201
QUEZON CITY,FIESTA GAS,2.7 KG,222,220,221
QUEZON CITY,FORTUNE GAS,2.7 KG,730,722,726
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,238,235,236.5
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,GASUL,2.7 KG,222,220,221
QUEZON CITY,ISLAND AIR PRODUCTS,2.7 KG,230,220,225
QUEZON CITY,LUZON GAS,2.7 KG,235,228,231.5
QUEZON CITY,MGAS,2.7 KG,220,210,215
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,REGASCO,2.7 KG,225,218,221.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
QUEZON CITY,TOTAL GAS/SUPERKALAN,2.7 KG,225,224,224.5
San Juan City,GASUL,2.7 KG,222,220,221
San Juan City,FIESTA GAS,2.7 KG,202,200,201
TAGUIG CITY,BRENT GAS,2.7 KG,234,232,233
TAGUIG CITY,BRENT GAS,2.7 KG,234,232,233
TAGUIG CITY,FIESTA GAS,2.7 KG,202,200,201
TAGUIG CITY,GASUL,2.7 KG,222,220,221
TAGUIG CITY,REGASCO,2.7 KG,215,210,212.5
VALENZUELA CITY,BRENT GAS,2.7 KG,234,232,233
VALENZUELA CITY,FIESTA GAS,2.7 KG,202,200,201
VALENZUELA CITY,GASUL,2.7 KG,222,220,221
VALENZUELA CITY,ISLAND AIR PRODUCTS,2.7 KG,230,222,226
VALENZUELA CITY,MGAS,2.7 KG,230,222,226
VALENZUELA CITY,SUPERKALAN TOTAL,2.7 KG,233,231,232
PATEROS,FIESTA GAS,2.7 KG,202,200,201
PATEROS,GASUL,2.7 KG,222,220,221
PATEROS,SUPERKALAN TOTAL,2.7 KG,255,253,254
PATEROS,SUPERKALAN TOTAL,2.7 KG,253,241,247
MUNTINLUPA CITY,MALAYA GAS,2.0 KG,162,156,159
MANILA,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
MANILA,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
MANILA,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
PASIG CITY,Auto LPG,1 LITER,32.95,31.35,32.15
Quezon City,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
Quezon City,Auto Gas (Clean Fuel),1 LITER,32.95,31.35,32.15
CALOOCAN CITY,BRENT GAS,50 KG,3529,3381,3455
CALOOCAN CITY,BRENT GAS,50 KG,3381,3381,3381
CALOOCAN CITY,GASUL,50 KG,3673,3636,3654.5
CALOOCAN CITY,REGASCO,50 KG,2900,2900,2900
CALOOCAN CITY,REGASCO,50 KG,2900,2900,2900
LAS PINAS CITY,BRENT GAS,50 KG,3529,3381,3455
LAS PINAS CITY,BRENT GAS,50 KG,3529,3381,3455
LAS PINAS CITY,FIESTA GAS,50 KG,3866,3718,3792
LAS PINAS CITY,GASUL,50 KG,3866,3718,3792
LAS PINAS CITY,PHOENIX SUPER LPG,50 KG,3693,3545,3619
LAS PINAS CITY,SUPERKALAN (TOTAL),50 KG,3173,3173,3173
